"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5111","Add an item to the cart","All Test Suite","Sat Nov 02 12:29:05 BDT 2024","passed","Sat Nov 02 12:29:10 BDT 2024","testcases.TestHomePage","TestHomePage - homePageUrlAndPopupBannerTest","testcases.TestHomePage","testAddItemToCart"
"","18348","Navigate to home page and handle the popup","All Test Suite","Sat Nov 02 12:27:45 BDT 2024","passed","Sat Nov 02 12:28:03 BDT 2024","testcases.TestHomePage","TestHomePage - homePageUrlAndPopupBannerTest","testcases.TestHomePage","testNavigateToHomePageAndHandlePopup"
"","7186","Test cart edit all info and test","All Test Suite","Sat Nov 02 12:29:25 BDT 2024","passed","Sat Nov 02 12:29:32 BDT 2024","testcases.TestCartPage","TestCartPage - shippingPageInfoTest","testcases.TestCartPage","shippingPageInfoTest"
"","7498","Navigate to the cart page","All Test Suite","Sat Nov 02 12:29:14 BDT 2024","passed","Sat Nov 02 12:29:21 BDT 2024","testcases.TestHomePage","TestHomePage - homePageUrlAndPopupBannerTest","testcases.TestHomePage","testNavigateToCartPage"
"","9610","Navigate to the next page","All Test Suite","Sat Nov 02 12:28:51 BDT 2024","passed","Sat Nov 02 12:29:01 BDT 2024","testcases.TestHomePage","TestHomePage - homePageUrlAndPopupBannerTest","testcases.TestHomePage","testNavigateToNextPage"
"","34118","Scroll to writer list and hover over the writer list","All Test Suite","Sat Nov 02 12:28:13 BDT 2024","passed","Sat Nov 02 12:28:47 BDT 2024","testcases.TestHomePage","TestHomePage - homePageUrlAndPopupBannerTest","testcases.TestHomePage","testScrollToWriterListAndHover"
"","8073","Logs out of the account after testing cart page features","All Test Suite","Sat Nov 02 12:29:36 BDT 2024","passed","Sat Nov 02 12:29:44 BDT 2024","testcases.TestCartPage","TestCartPage - shippingPageInfoTest","testcases.TestCartPage","testLogOut"
